GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Mutation score(%),Statement Coverage
Apache Commons Collections,org.apache.commons.collections4.keyvalue,TiedMapEntry,3,106,5,17,1,21,5,13,0,7,90,95.45454545
Apache Commons Collections,org.apache.commons.collections4.keyvalue,MultiKey,3,330,2,18,1,66,2,28,0,20,91,98.50746269
Apache Commons Collections,org.apache.commons.collections4.collection,TransformedCollection,0,98,1,5,0,19,1,9,0,7,92,100
Apache Commons Collections,org.apache.commons.collections4.collection,IndexedCollection,8,234,2,28,2,65,3,29,1,16,88,97.01492537
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,24,81,4,8,6,22,6,14,2,12,53,78.57142857
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection,0,90,0,6,0,18,0,10,0,7,100,100
Apache Commons Collections,org.apache.commons.collections4.collection,CompositeCollection,46,395,1,59,12,100,6,50,5,21,74,89.28571429
Apache Commons Collections,org.apache.commons.collections4.collection,SynchronizedCollection,0,239,1,5,0,47,1,23,0,21,96,100
Apache Commons Collections,org.apache.commons.collections4.collection,UnmodifiableCollection,0,49,0,2,0,14,0,11,0,10,100,100
Apache Commons Collections,org.apache.commons.collections4.comparators,ReverseComparator,8,46,2,6,3,12,3,6,1,4,73,80
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparableComparator,0,33,0,6,0,8,0,9,0,6,71,100
Apache Commons Collections,org.apache.commons.collections4.comparators,FixedOrderComparator,46,320,18,40,3,54,16,26,0,12,62,94.73684211
Apache Commons Collections,org.apache.commons.collections4.comparators,NullComparator,28,74,7,15,8,19,9,9,3,4,43,70.37037037
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparatorChain,70,219,15,27,19,58,18,21,6,12,54,75.32467532
Apache Commons Collections,org.apache.commons.collections4.properties,PropertiesFactory,0,14,0,0,0,3,0,2,0,2,100,100
Apache Commons Collections,org.apache.commons.collections4.properties,SortedPropertiesFactory,0,9,0,0,0,2,0,2,0,2,100,100
Apache Commons Collections,org.apache.commons.collections4.sequence,KeepCommand,0,9,0,0,0,4,0,2,0,2,100,100
Apache Commons Collections,org.apache.commons.collections4.sequence,DeleteCommand,0,9,0,0,0,4,0,2,0,2,100,100
Apache Commons Collections,org.apache.commons.collections4.sequence,SequencesComparator,5,558,3,79,1,79,3,44,0,6,95,98.75
Apache Commons Collections,org.apache.commons.collections4.sequence,ReplacementsFinder,65,0,4,0,17,0,6,0,4,0,0,0
Apache Commons Collections,org.apache.commons.collections4.sequence,EditCommand,0,9,0,0,0,4,0,2,0,2,100,100
Apache Commons Collections,org.apache.commons.collections4.sequence,InsertCommand,0,9,0,0,0,4,0,2,0,2,100,100
Apache Commons Collections,org.apache.commons.collections4.sequence,EditScript,3,69,0,2,1,19,1,7,1,6,71,95
Apache Commons Collections,org.apache.commons.collections4.trie.analyzer,StringKeyAnalyzer,15,174,10,24,4,36,11,14,1,7,0,90
Apache Commons Collections,org.apache.commons.collections4.bag,SynchronizedBag,5,98,0,2,2,19,1,10,1,9,10,90.47619048
Apache Commons Collections,org.apache.commons.collections4.bag,UnmodifiableSortedBag,12,65,0,2,3,20,3,13,3,12,33,86.95652174
Apache Commons Collections,org.apache.commons.collections4.bag,SynchronizedSortedBag,42,9,0,0,9,3,5,2,5,2,20,25
Apache Commons Collections,org.apache.commons.collections4.bag,TransformedSortedBag,4,62,1,3,1,13,2,7,1,6,8,92.85714286
