GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Branch Coverage,statehment coverage,Complexity,Mutation Score(%)
Doxia :: XHTML5 Module,org.apache.maven.doxia.module.xhtml5,Xhtml5Sink,6,293,7,31,2,90,7,29,0,17,81.57894737,0.97826087,36,82
Doxia :: XHTML5 Module,org.apache.maven.doxia.module.xhtml5,Xhtml5Parser,110,434,8,54,15,102,8,32,0,9,87.09677419,0.871794872,40,74
Doxia :: FML Module,org.apache.maven.doxia.module.fml.model,Faqs,183,39,30,2,37,13,23,7,8,6,6.25,0.26,30,13
Doxia :: FML Module,org.apache.maven.doxia.module.fml.model,Part,182,34,34,2,32,12,22,8,5,7,5.555555556,0.272727273,30,13
Doxia :: FML Module,org.apache.maven.doxia.module.fml.model,Faq,172,24,34,0,28,10,20,7,3,7,0,0.263157895,27,10
Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlContentParser,70,89,8,18,10,24,5,12,0,4,69.23076923,0.705882353,17,55
Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlParser,445,925,51,87,61,223,45,40,1,15,63.04347826,0.785211268,85,0
Doxia :: Latex Module,org.apache.maven.doxia.module.latex,LatexSink,179,1376,36,79,63,375,46,148,11,114,68.69565217,0.856164384,194,78
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,ParagraphBlockParser,5,101,1,13,1,25,1,11,0,5,92.85714286,0.961538462,12,93
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,ParagraphBlock,0,29,0,4,0,12,0,6,0,4,100,1,6,100
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,FigureBlock,0,42,1,3,0,15,1,4,0,3,75,1,5,89
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,AbstractFatherBlock,5,33,1,3,1,11,1,4,0,3,75,0.916666667,5,100
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,FigureBlockParser,8,103,2,14,1,19,2,10,0,4,87.5,0.95,12,87
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,SectionBlock,0,102,2,18,0,36,2,10,0,2,90,1,12,100
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,DefinitionListBlockParser,0,120,4,24,0,24,4,15,0,5,85.71428571,1,19,95
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,SectionBlockParser,0,78,0,10,0,18,0,8,0,3,100,1,8,100
Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,DefinitionListBlock,0,49,1,3,0,16,1,3,0,2,75,1,4,80
