Package,Class name,Branch Coverage,(1) % Branch coverage,(4) McCabe complexity,
org.apache.commons.codec.language,MatchRatingApproachEncoder,1,100,51,
org.apache.commons.codec.language,ColognePhonetic,0.985714286,98.57142857,44,
org.apache.commons.codec.language,DoubleMetaphone,0.910958904,91.09589041,269,
org.apache.commons.codec.language,DaitchMokotoffSoundex.Branch,0.85,85,17,
org.apache.commons.codec.language,Soundex,0.941176471,94.11764706,30,
org.apache.commons.codec.language,AbstractCaverphone,1,100,4,
org.apache.commons.codec.language,DaitchMokotoffSoundex,0.852272727,85.22727273,54,
org.apache.commons.codec.language,Nysiis,1,100,46,
org.apache.commons.codec.language,RefinedSoundex,0.928571429,92.85714286,16,
org.apache.commons.codec.language,Metaphone,0.9125,91.25,101,
org.apache.commons.codec.language,SoundexUtils,1,100,13,
org.apache.commons.codec.language,Caverphone,0,0,6,
org.apache.commons.codec.language,DoubleMetaphone.DoubleMetaphoneResult,1,100,18,
org.apache.commons.codec.language,Caverphone2,1,100,4,
org.apache.commons.codec.language,Caverphone1,1,100,4,
org.apache.commons.codec.language,DaitchMokotoffSoundex.Rule,1,100,14,
org.apache.commons.codec.language,ColognePhonetic.CologneOutputBuffer,1,100,7,
org.apache.commons.codec.cli,Digest,0,0,26,
org.apache.commons.codec.digest,HmacUtils,1,100,61,
org.apache.commons.codec.digest,Sha2Crypt,0.904761905,90.47619048,30,
org.apache.commons.codec.digest,MurmurHash3.IncrementalHash32,1,100,5,
org.apache.commons.codec.digest,PureJavaCrc32C,0.3,30,14,
org.apache.commons.codec.digest,UnixCrypt,0.964285714,96.42857143,28,
org.apache.commons.codec.digest,DigestUtils,1,100,127,
org.apache.commons.codec.digest,MurmurHash3.IncrementalHash32x86,0.944444444,94.44444444,17,
org.apache.commons.codec.digest,MurmurHash2,1,100,22,
org.apache.commons.codec.digest,MurmurHash3,1,100,60,
org.apache.commons.codec.digest,PureJavaCrc32,1,100,15,
org.apache.commons.codec.digest,XXHash32,1,100,17,
org.apache.commons.codec.digest,Crypt,1,100,9,
org.apache.commons.codec.digest,Md5Crypt,1,100,24,
org.apache.commons.codec.digest,B64,1,100,7,
org.apache.commons.codec.binary,StringUtils,1,100,33,
org.apache.commons.codec.binary,Base32,0.857142857,85.71428571,56,
org.apache.commons.codec.binary,Hex,1,100,40,
org.apache.commons.codec.binary,BaseNCodecOutputStream,0.95,95,17,
org.apache.commons.codec.binary,BaseNCodecInputStream,0.96875,96.875,24,
org.apache.commons.codec.binary,CharSequenceUtils,0.571428571,57.14285714,9,
org.apache.commons.codec.binary,BinaryCodec,1,100,38,
org.apache.commons.codec.binary,BaseNCodec,0.926470588,92.64705882,57,
org.apache.commons.codec.binary,Base64OutputStream,,,3,
org.apache.commons.codec.binary,Base64,0.931372549,93.1372549,81,
org.apache.commons.codec,Resources,1,100,3,
org.apache.commons.codec,Charsets,0.75,75,6,
org.apache.commons.codec.net,QuotedPrintableCodec,0.975609756,97.56097561,66,
org.apache.commons.codec.net,PercentCodec,1,100,51,
org.apache.commons.codec.net,BCodec,0.9,90,24,
org.apache.commons.codec.net,QCodec,0.952380952,95.23809524,38,
org.apache.commons.codec.net,Utils,1,100,4,
org.apache.commons.codec.net,URLCodec,1,100,38,
org.apache.commons.codec.net,RFC1522Codec,0.888888889,88.88888889,13,
org.apache.commons.codec.language.bm,Languages.SomeLanguages,0.875,87.5,17,
org.apache.commons.codec.language.bm,PhoneticEngine.RulesApplication,1,100,9,
org.apache.commons.codec.language.bm,Languages.LanguageSet,1,100,3,
org.apache.commons.codec.language.bm,PhoneticEngine.PhonemeBuilder,0.9375,93.75,15,
org.apache.commons.codec.language.bm,PhoneticEngine,0.880952381,88.0952381,34,
org.apache.commons.codec.language.bm,BeiderMorseEncoder,1,100,12,
org.apache.commons.codec.language.bm,Rule.Phoneme.new Comparator() {...},1,100,6,
org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},1,100,4,
org.apache.commons.codec.language.bm,Languages,1,100,12,
org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},1,100,4,
org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},1,100,4,
org.apache.commons.codec.language.bm,Lang,0.884615385,88.46153846,19,
org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},1,100,3,
org.apache.commons.codec.language.bm,Rule,0.905172414,90.51724138,80,
,,,,,
