Package,Class name,Statement Coverage,(2) % Statement coverage,(4) McCabe complexity,
org.apache.commons.codec.language,MatchRatingApproachEncoder,1,100,51,
org.apache.commons.codec.language,ColognePhonetic,1,100,44,
org.apache.commons.codec.language,DaitchMokotoffSoundex.new Comparator() {...},1,100,2,
org.apache.commons.codec.language,DoubleMetaphone,0.983173077,98.31730769,269,
org.apache.commons.codec.language,DaitchMokotoffSoundex.Branch,0.933333333,93.33333333,17,
org.apache.commons.codec.language,Soundex,0.949152542,94.91525424,30,
org.apache.commons.codec.language,AbstractCaverphone,1,100,4,
org.apache.commons.codec.language,DaitchMokotoffSoundex,0.946564885,94.65648855,54,
org.apache.commons.codec.language,Nysiis,1,100,46,
org.apache.commons.codec.language,RefinedSoundex,1,100,16,
org.apache.commons.codec.language,ColognePhonetic.CologneBuffer,1,100,4,
org.apache.commons.codec.language,Metaphone,0.988095238,98.80952381,101,
org.apache.commons.codec.language,SoundexUtils,1,100,13,
org.apache.commons.codec.language,Caverphone,0,0,6,
org.apache.commons.codec.language,DoubleMetaphone.DoubleMetaphoneResult,1,100,18,
org.apache.commons.codec.language,Caverphone2,1,100,4,
org.apache.commons.codec.language,ColognePhonetic.CologneInputBuffer,0.727272727,72.72727273,5,
org.apache.commons.codec.language,Caverphone1,1,100,4,
org.apache.commons.codec.language,DaitchMokotoffSoundex.Rule,0.888888889,88.88888889,14,
org.apache.commons.codec.language,ColognePhonetic.CologneOutputBuffer,1,100,7,
org.apache.commons.codec.cli,Digest,0,0,26,
org.apache.commons.codec.digest,HmacUtils,0.810526316,81.05263158,61,
org.apache.commons.codec.digest,Sha2Crypt,0.970149254,97.01492537,30,
org.apache.commons.codec.digest,MurmurHash3.IncrementalHash32,1,100,5,
org.apache.commons.codec.digest,PureJavaCrc32C,0.742857143,74.28571429,14,
org.apache.commons.codec.digest,UnixCrypt,0.993377483,99.33774834,28,
org.apache.commons.codec.digest,MessageDigestAlgorithms,1,100,1,
org.apache.commons.codec.digest,HmacAlgorithms,1,100,4,
org.apache.commons.codec.digest,DigestUtils,0.959731544,95.97315436,127,
org.apache.commons.codec.digest,MurmurHash3.IncrementalHash32x86,0.981132075,98.11320755,17,
org.apache.commons.codec.digest,MurmurHash2,1,100,22,
org.apache.commons.codec.digest,MurmurHash3,1,100,60,
org.apache.commons.codec.digest,PureJavaCrc32,1,100,15,
org.apache.commons.codec.digest,XXHash32,1,100,17,
org.apache.commons.codec.digest,Crypt,1,100,9,
org.apache.commons.codec.digest,Md5Crypt,1,100,24,
org.apache.commons.codec.digest,B64,1,100,7,
org.apache.commons.codec.binary,BaseNCodec.Context,0.4,40,2,
org.apache.commons.codec.binary,StringUtils,1,100,33,
org.apache.commons.codec.binary,Base32OutputStream,1,100,3,
org.apache.commons.codec.binary,Base32,0.954285714,95.42857143,56,
org.apache.commons.codec.binary,Hex,1,100,40,
org.apache.commons.codec.binary,BaseNCodecOutputStream,1,100,17,
org.apache.commons.codec.binary,BaseNCodecInputStream,0.934782609,93.47826087,24,
org.apache.commons.codec.binary,CharSequenceUtils,0.666666667,66.66666667,9,
org.apache.commons.codec.binary,Base64InputStream,1,100,3,
org.apache.commons.codec.binary,BinaryCodec,1,100,38,
org.apache.commons.codec.binary,BaseNCodec,0.978723404,97.87234043,57,
org.apache.commons.codec.binary,Base64OutputStream,1,100,3,
org.apache.commons.codec.binary,Base64,0.973856209,97.38562092,81,
org.apache.commons.codec.binary,Base32InputStream,1,100,3,
org.apache.commons.codec,Resources,0.8,80,3,
org.apache.commons.codec,DecoderException,1,100,4,
org.apache.commons.codec,StringEncoderComparator,0.785714286,78.57142857,3,
org.apache.commons.codec,CharEncoding,1,100,1,
org.apache.commons.codec,EncoderException,1,100,4,
org.apache.commons.codec,Charsets,0.888888889,88.88888889,6,
org.apache.commons.codec.net,QuotedPrintableCodec,0.967479675,96.74796748,66,
org.apache.commons.codec.net,PercentCodec,1,100,51,
org.apache.commons.codec.net,BCodec,0.886363636,88.63636364,24,
org.apache.commons.codec.net,QCodec,0.932692308,93.26923077,38,
org.apache.commons.codec.net,Utils,1,100,4,
org.apache.commons.codec.net,URLCodec,0.988636364,98.86363636,38,
org.apache.commons.codec.net,RFC1522Codec,0.95,95,13,
org.apache.commons.codec.language.bm,Languages.SomeLanguages,0.9,90,17,
org.apache.commons.codec.language.bm,Languages.new Languages.LanguageSet() {...},0.25,25,8,
org.apache.commons.codec.language.bm,Languages.new Languages.LanguageSet() {...},0.875,87.5,8,
org.apache.commons.codec.language.bm,RuleType,1,100,3,
org.apache.commons.codec.language.bm,PhoneticEngine.RulesApplication,1,100,9,
org.apache.commons.codec.language.bm,NameType,1,100,3,
org.apache.commons.codec.language.bm,Lang.LangRule,1,100,2,
org.apache.commons.codec.language.bm,Languages.LanguageSet,1,100,3,
org.apache.commons.codec.language.bm,PhoneticEngine.PhonemeBuilder,1,100,15,
org.apache.commons.codec.language.bm,PhoneticEngine,0.9375,93.75,34,
org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},1,100,2,
org.apache.commons.codec.language.bm,Rule.Phoneme,0.85,85,11,
org.apache.commons.codec.language.bm,BeiderMorseEncoder,1,100,12,
org.apache.commons.codec.language.bm,Rule.PhonemeList,1,100,2,
org.apache.commons.codec.language.bm,ResourceConstants,0,0,1,
org.apache.commons.codec.language.bm,Rule.Phoneme.new Comparator() {...},1,100,6,
org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},1,100,4,
org.apache.commons.codec.language.bm,Languages,1,100,12,
org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},1,100,2,
org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},1,100,2,
org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},1,100,4,
org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},1,100,4,
org.apache.commons.codec.language.bm,Rule.new Rule() {...},0.25,25,2,
org.apache.commons.codec.language.bm,Lang,0.936170213,93.61702128,19,
org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},1,100,2,
org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},1,100,2,
org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},1,100,3,
org.apache.commons.codec.language.bm,Rule,0.905027933,90.5027933,80,
