Package,Class name,Branch Coverage,(1) % Branch coverage,(4) McCabe complexity
org.apache.commons.collections4.keyvalue,TiedMapEntry,0.772727273,77.27272727,18
org.apache.commons.collections4.keyvalue,AbstractMapEntry,0.95,95,14
org.apache.commons.collections4.keyvalue,MultiKey,0.9,90,30
org.apache.commons.collections4.keyvalue,DefaultKeyValue,0.791666667,79.16666667,21
org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,0.5,50,9
org.apache.commons.collections4.splitmap,TransformedSplitMap,0.75,75,13
org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,0.5,50,17
org.apache.commons.collections4.collection,TransformedCollection,0.833333333,83.33333333,10
org.apache.commons.collections4.collection,IndexedCollection,0.933333333,93.33333333,32
org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,0.666666667,66.66666667,20
org.apache.commons.collections4.collection,PredicatedCollection,1,100,10
org.apache.commons.collections4.collection,CompositeCollection,0.983333333,98.33333333,56
org.apache.commons.collections4.collection,SynchronizedCollection,0.833333333,83.33333333,24
org.apache.commons.collections4.collection,PredicatedCollection.Builder,0.833333333,83.33333333,17
org.apache.commons.collections4.collection,UnmodifiableCollection,1,100,11
org.apache.commons.collections4.comparators,TransformingComparator,0.590909091,59.09090909,16
org.apache.commons.collections4.comparators,ReverseComparator,0.75,75,9
org.apache.commons.collections4.comparators,BooleanComparator,0.928571429,92.85714286,17
org.apache.commons.collections4.comparators,ComparableComparator,1,100,9
org.apache.commons.collections4.comparators,FixedOrderComparator,0.689655172,68.96551724,42
org.apache.commons.collections4.comparators,NullComparator,0.681818182,68.18181818,18
org.apache.commons.collections4.comparators,ComparatorChain,0.642857143,64.28571429,39
org.apache.commons.collections4.properties,AbstractPropertiesFactory,0.833333333,83.33333333,13
org.apache.commons.collections4.properties,SortedProperties,1,100,3
org.apache.commons.collections4.properties,PropertiesFactory.EmptyProperties,1,100,47
org.apache.commons.collections4.properties,AbstractPropertiesFactory.PropertyFormat,1,100,3
org.apache.commons.collections4.sequence,SequencesComparator,0.963414634,96.34146341,47
org.apache.commons.collections4.sequence,ReplacementsFinder,0,0,6
org.apache.commons.collections4.sequence,EditScript,1,100,8
org.apache.commons.collections4.trie.analyzer,StringKeyAnalyzer,0.705882353,70.58823529,25
org.apache.commons.collections4.bag,AbstractMapBag,0.902439024,90.24390244,68
org.apache.commons.collections4.bag,PredicatedBag,1,100,11
org.apache.commons.collections4.bag,SynchronizedBag,1,100,11
org.apache.commons.collections4.bag,AbstractMapBag.BagIterator,0.928571429,92.85714286,11
org.apache.commons.collections4.bag,UnmodifiableSortedBag,1,100,16
org.apache.commons.collections4.bag,AbstractBagDecorator,1,100,11
org.apache.commons.collections4.bag,TransformedSortedBag,0.75,75,9
org.apache.commons.collections4.bag,TransformedBag,0.875,87.5,14
org.apache.commons.collections4.bag,AbstractMapBag.MutableInteger,0,0,5
org.apache.commons.collections4.bag,TreeBag,1,100,12
org.apache.commons.collections4.bag,CollectionBag,0.875,87.5,23
org.apache.commons.collections4.bag,CollectionSortedBag,0.875,87.5,23
org.apache.commons.collections4.bag,UnmodifiableBag,1,100,16
org.apache.commons.collections4.bloomfilter.hasher.function,MD5Cyclic,1,100,8
org.apache.commons.collections4.bloomfilter.hasher.function,ObjectsHashIterative,1,100,8
org.apache.commons.collections4.bloomfilter.hasher.function,Murmur128x64Cyclic,1,100,9
org.apache.commons.collections4.trie,AbstractPatriciaTrie.RangeEntryMap,0.705882353,70.58823529,27
org.apache.commons.collections4.trie,AbstractPatriciaTrie.PrefixRangeEntrySet,1,100,6
org.apache.commons.collections4.trie,AbstractPatriciaTrie.RangeMap,0.5,50,39
org.apache.commons.collections4.trie,AbstractPatriciaTrie.KeySet,1,100,7
org.apache.commons.collections4.trie,AbstractPatriciaTrie.TrieIterator,0.9,90,11
