Package,Class name,Statement Coverage,(2) % Statement coverage,(4) McCabe complexity
org.apache.commons.configuration2.beanutils,ConfigurationDynaClass,0.893617021,89.36170213,21
org.apache.commons.configuration2.beanutils,DefaultBeanFactory,1,100,31
org.apache.commons.configuration2.beanutils,BeanHelper.BeanCreationContextImpl,0.916666667,91.66666667,6
org.apache.commons.configuration2.beanutils,XMLBeanDeclaration.NodeData,1,100,10
org.apache.commons.configuration2.beanutils,XMLBeanDeclaration,0.850574713,85.05747126,43
org.apache.commons.configuration2.beanutils,ConstructorArg,1,100,17
org.apache.commons.configuration2.beanutils,CombinedBeanDeclaration,1,100,20
org.apache.commons.configuration2.beanutils,BeanHelper,0.816793893,81.67938931,49
org.apache.commons.configuration2.beanutils,ConfigurationDynaBean,0.897058824,89.70588235,34
org.apache.commons.configuration2,DynamicCombinedConfiguration,0.599033816,59.90338164,111
org.apache.commons.configuration2,ConfigurationLookup,1,100,4
org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler,1,100,4
org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.ConfigurationSetIterator,1,100,4
org.apache.commons.configuration2,PropertiesConfigurationLayout.PropertyLayoutData,0.896551724,89.65517241,15
org.apache.commons.configuration2,StrictConfigurationComparator,1,100,10
org.apache.commons.configuration2,DatabaseConfiguration.JdbcOperation,0.96875,96.875,12
org.apache.commons.configuration2,XMLConfiguration.XMLBuilderVisitor,0.960784314,96.07843137,39
org.apache.commons.configuration2,PropertiesConfiguration.JupIOFactory,1,100,4
org.apache.commons.configuration2,PropertiesConfiguration.JupPropertiesWriter,1,100,5
org.apache.commons.configuration2,XMLPropertiesConfiguration.XMLPropertiesHandler,1,100,8
org.apache.commons.configuration2,INIConfiguration,0.986547085,98.65470852,96
org.apache.commons.configuration2,AbstractYAMLBasedConfiguration,0.980392157,98.03921569,19
org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},1,100,3
org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},1,100,2
org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},1,100,2
org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},1,100,2
org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},1,100,6
org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},1,100,5
org.apache.commons.configuration2,BaseHierarchicalConfiguration.BuilderVisitor,1,100,14
org.apache.commons.configuration2,SubsetConfiguration.SubsetIterator,1,100,4
org.apache.commons.configuration2,ConfigurationUtils,0.898148148,89.81481481,42
org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},1,100,3
org.apache.commons.configuration2,ConfigurationConverter,1,100,8
org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedKeysVisitor,1,100,9
org.apache.commons.configuration2,EnvironmentConfiguration,1,100,4
org.apache.commons.configuration2,DataConfiguration.DataConversionHandler,1,100,5
org.apache.commons.configuration2,PropertiesConfiguration.DefaultIOFactory,1,100,4
org.apache.commons.configuration2,HierarchicalConfigurationXMLReader.SAXVisitor,1,100,11
org.apache.commons.configuration2,XMLDocumentHelper,1,100,20
org.apache.commons.configuration2,XMLListReference,1,100,18
org.apache.commons.configuration2,ConfigurationUtils.new EventSource() {...},1,100,3
org.apache.commons.configuration2,HierarchicalConfigurationXMLReader,1,100,6
org.apache.commons.configuration2,PropertiesConfiguration.PropertiesWriter,0.968253968,96.82539683,29
org.apache.commons.configuration2,PropertiesConfigurationLayout,0.972067039,97.20670391,79
org.apache.commons.configuration2,XMLPropertiesConfiguration,0.845360825,84.53608247,32
org.apache.commons.configuration2,BaseConfigurationXMLReader.SAXConverter,1,100,4
org.apache.commons.configuration2,SubsetConfiguration,0.941176471,94.11764706,32
org.apache.commons.configuration2,YAMLConfiguration.new Constructor() {...},1,100,2
org.apache.commons.configuration2,DynamicCombinedConfiguration.new ConfigurationInterpolator() {...},1,100,2
org.apache.commons.configuration2,AbstractHierarchicalConfiguration,0.985714286,98.57142857,62
org.apache.commons.configuration2,PatternSubtreeConfigurationWrapper,0.188888889,18.88888889,71
org.apache.commons.configuration2,ConfigurationMap,1,100,5
org.apache.commons.configuration2,AbstractConfiguration,0.969187675,96.91876751,171
org.apache.commons.configuration2,DynamicCombinedConfiguration.ConfigData,1,100,4
org.apache.commons.configuration2,BaseConfiguration,0.945945946,94.59459459,15
org.apache.commons.configuration2,CombinedConfiguration,1,100,71
org.apache.commons.configuration2,DynamicCombinedConfiguration.CurrentConfigHolder,1,100,7
org.apache.commons.configuration2,DataConfiguration,0.978417266,97.84172662,104
org.apache.commons.configuration2,PropertiesConfiguration,0.941176471,94.11764706,77
org.apache.commons.configuration2,PropertiesConfiguration.PropertiesReader,1,100,23
org.apache.commons.configuration2,JSONConfiguration,0.636363636,63.63636364,5
org.apache.commons.configuration2,SubnodeConfiguration,1,100,14
org.apache.commons.configuration2,YAMLConfiguration,0.512195122,51.2195122,10
org.apache.commons.configuration2,BaseHierarchicalConfiguration.new BaseHierarchicalConfiguration() {...},0.666666667,66.66666667,3
