Package,Class name,Branch Coverage,(1) % Branch coverage,(4) McCabe complexity
org.apache.maven.doxia.module.xhtml5,Xhtml5Sink,0.815789474,81.57894737,36
org.apache.maven.doxia.module.xhtml5,Xhtml5Parser,0.870967742,87.09677419,40
org.apache.maven.doxia.module.fml.model,Faqs,0.0625,6.25,30
org.apache.maven.doxia.module.fml.model,Part,0.055555556,5.555555556,30
org.apache.maven.doxia.module.fml.model,Faq,0,0,27
org.apache.maven.doxia.module.fml,FmlContentParser,0.692307692,69.23076923,17
org.apache.maven.doxia.module.fml,FmlParser,0.630434783,63.04347826,85
org.apache.maven.doxia.module.latex,LatexSink,0.686956522,68.69565217,194
org.apache.maven.doxia.module.confluence.parser,ParagraphBlockParser,0.928571429,92.85714286,12
org.apache.maven.doxia.module.confluence.parser,ParagraphBlock,1,100,6
org.apache.maven.doxia.module.confluence.parser,FigureBlock,0.75,75,5
org.apache.maven.doxia.module.confluence.parser,AbstractFatherBlock,0.75,75,5
org.apache.maven.doxia.module.confluence.parser,FigureBlockParser,0.875,87.5,12
org.apache.maven.doxia.module.confluence.parser,SectionBlock,0.9,90,12
org.apache.maven.doxia.module.confluence.parser,DefinitionListBlockParser,0.857142857,85.71428571,19
org.apache.maven.doxia.module.confluence.parser,SectionBlockParser,1,100,8
org.apache.maven.doxia.module.confluence.parser,DefinitionListBlock,0.75,75,4
org.apache.maven.doxia.module.confluence.parser,LinkBlock,0.5,50,4
org.apache.maven.doxia.module.confluence.parser,VerbatimBlockParser,0.9,90,9
org.apache.maven.doxia.module.confluence.parser,AnchorBlock,0.5,50,3
org.apache.maven.doxia.module.confluence.parser,ChildBlocksBuilder,0.909090909,90.90909091,77
org.apache.maven.doxia.module.confluence.parser.list,ListItemBlock,1,100,6
org.apache.maven.doxia.module.confluence.parser.list,ListBlockParser,0.977272727,97.72727273,29
org.apache.maven.doxia.module.confluence.parser.list,TreeListBuilder,0.75,75,15
org.apache.maven.doxia.module.confluence.parser.list,TreeComponent,0.375,37.5,14
org.apache.maven.doxia.module.confluence.parser.table,TableBlockParser,0.8125,81.25,21
org.apache.maven.doxia.module.confluence.parser.table,TableBlock,1,100,5
org.apache.maven.doxia.module.confluence,ConfluenceSink,0.810126582,81.01265823,174
org.apache.maven.doxia.module.confluence,ConfluenceParser,1,100,10
org.apache.maven.doxia.module.xhtml,XhtmlParser,0.870967742,87.09677419,40
org.apache.maven.doxia.module.xhtml,XhtmlSink,0.9,90,18
org.apache.maven.doxia.module.docbook,DocBookSink,0.732673267,73.26732673,184
org.apache.maven.doxia.module.docbook,DocBookParser,0.899135447,89.91354467,213
org.apache.maven.doxia.module.docbook,DocbookUtils,1,100,24
org.apache.maven.doxia.module.apt,AptParser,0.664082687,66.40826873,248
org.apache.maven.doxia.module.apt,AptParser.DefinitionListItem,0.5,50,3
org.apache.maven.doxia.module.apt,AptSink,0.833333333,83.33333333,143
org.apache.maven.doxia.module.apt,AptParser.Table,0.893939394,89.39393939,39
org.apache.maven.doxia.module.apt,AptParser.Figure,0.5,50,3
org.apache.maven.doxia.module.apt,AptParser.Verbatim,0.722222222,72.22222222,11
org.apache.maven.doxia.module.apt,AptParser.MacroBlock,0.642857143,64.28571429,11
org.apache.maven.doxia.module.apt,AptParser.Comment,0.5,50,3
org.apache.maven.doxia.module.apt,AptUtils,1,100,24
org.apache.maven.doxia.module.apt,AptParser.Title,0.59375,59.375,21
org.apache.maven.doxia.module.apt,AptReaderSource,0.666666667,66.66666667,9
org.apache.maven.doxia.module.apt,AptParser.Block,0.791666667,79.16666667,21
org.apache.maven.doxia.module.apt,AptParser.NumberedListItem,0.75,75,8
org.apache.maven.doxia.macro,MacroRequest,1,100,11
org.apache.maven.doxia.macro,SsiMacro,1,100,7
org.apache.maven.doxia.macro,AbstractMacro,0.8,80,10
org.apache.maven.doxia.macro,EchoMacro,1,100,5
org.apache.maven.doxia.macro,SwfMacro,0.615384615,61.53846154,26
org.apache.maven.doxia.parser.module,DefaultParserModuleManager,0,0,6
org.apache.maven.doxia.parser.manager,DefaultParserManager,0,0,3
org.apache.maven.doxia.macro.snippet,SnippetReader,0.916666667,91.66666667,28
org.apache.maven.doxia.macro.snippet,SnippetMacro,0.71875,71.875,28
org.apache.maven.doxia.sink.impl,Xhtml5BaseSink,0.663755459,66.37554585,287
org.apache.maven.doxia.sink.impl,RandomAccessSink,0.833333333,83.33333333,174
org.apache.maven.doxia.sink.impl,SinkUtils,0.916666667,91.66666667,17
org.apache.maven.doxia.sink.impl,AbstractXmlSink,0.9375,93.75,19
org.apache.maven.doxia.sink.impl,AbstractSink,0.928571429,92.85714286,12
org.apache.maven.doxia.sink.impl,AbstractBinarySinkFactory,0,0,7
org.apache.maven.doxia.sink.impl,SinkAdapter,0.886363636,88.63636364,188
org.apache.maven.doxia.sink.impl,SinkEventAttributeSet,0.977272727,97.72727273,48
org.apache.maven.doxia.sink.impl,XhtmlBaseSink,0.666666667,66.66666667,262
org.apache.maven.doxia.sink.impl,AbstractTextSinkFactory,0,0,8
org.apache.maven.doxia.sink.impl,PipelineSink,0,0,5
org.apache.maven.doxia.parser,AbstractParser,0.5,50,19
org.apache.maven.doxia.parser,AbstractXmlParser,0.7375,73.75,66
org.apache.maven.doxia.parser,XhtmlBaseParser,0.842307692,84.23076923,168
org.apache.maven.doxia.parser,Xhtml5BaseParser,0.851955307,85.19553073,218
org.apache.maven.doxia.parser,AbstractXmlParser.CachedFileEntityResolver,0.333333333,33.33333333,14
org.apache.maven.doxia.parser,ParseException,0,0,14
org.apache.maven.doxia.macro.manager,DefaultMacroManager,1,100,3
org.apache.maven.doxia.index,IndexEntry,0.5,50,30
org.apache.maven.doxia.index,IndexingSink,0.333333333,33.33333333,33
org.apache.maven.doxia.document.io.xpp3,DocumentXpp3Reader,0.669642857,66.96428571,204
org.apache.maven.doxia.document.io.xpp3,DocumentXpp3Writer,0.515625,51.5625,110
org.apache.maven.doxia.util,ByLineReaderSource,0.583333333,58.33333333,14
org.apache.maven.doxia.util,XmlValidator.MessagesErrorHandler,0,0,13
org.apache.maven.doxia.util,XmlValidator,0.416666667,41.66666667,11
org.apache.maven.doxia.util,LineBreaker,0,0,20
org.apache.maven.doxia.util,DoxiaUtils,0.934782609,93.47826087,58
org.apache.maven.doxia.util,HtmlTools,0.865671642,86.56716418,49
org.apache.maven.doxia.macro.toc,TocMacro,0.733333333,73.33333333,19
org.apache.maven.doxia.document,DocumentMeta,0.419014085,41.90140845,205
org.apache.maven.doxia.document,DocumentTOC,0.466666667,46.66666667,27
org.apache.maven.doxia.document,DocumentTOCItem,0.452380952,45.23809524,35
org.apache.maven.doxia.document,DocumentStatistic,0.5,50,62
org.apache.maven.doxia.document,DocumentAuthor,0.382716049,38.27160494,116
org.apache.maven.doxia.document,DocumentHyperlinkBehaviour,0.428571429,42.85714286,13
org.apache.maven.doxia.document,DocumentCover,0.391304348,39.13043478,101
org.apache.maven.doxia.document,DocumentModel,0.431818182,43.18181818,36
org.apache.maven.doxia.document,DocumentTemplate,0.434782609,43.47826087,36
org.apache.maven.doxia.module.twiki,TWikiSink,0.475409836,47.54098361,169
org.apache.maven.doxia.module.twiki,TWikiParser,0.875,87.5,18
org.apache.maven.doxia.module.twiki.parser,SectionBlockParser,0.818181818,81.81818182,19
org.apache.maven.doxia.module.twiki.parser,TextParser,0.926470588,92.64705882,49
org.apache.maven.doxia.module.twiki.parser,HRuleBlockParser,0.75,75,8
org.apache.maven.doxia.module.twiki.parser,SectionBlock,0.625,62.5,15
org.apache.maven.doxia.module.twiki.parser,ImageBlock,0.5,50,7
org.apache.maven.doxia.module.twiki.parser,ListItemBlock,0.625,62.5,19
org.apache.maven.doxia.module.twiki.parser,TextBlock,0.833333333,83.33333333,9
org.apache.maven.doxia.module.twiki.parser,XHTMLBlock,0.25,25,8
org.apache.maven.doxia.module.twiki.parser,WikiWordBlock,0.785714286,78.57142857,13
org.apache.maven.doxia.module.twiki.parser,LinkBlock,0.75,75,11
org.apache.maven.doxia.module.twiki.parser,NumeratedListBlock,0.5,50,7
org.apache.maven.doxia.module.twiki.parser,ParagraphBlockParser,0.818181818,81.81818182,32
org.apache.maven.doxia.module.twiki.parser,AbstractFatherBlock,0.85,85,15
org.apache.maven.doxia.module.twiki.parser,AnchorBlock,0.833333333,83.33333333,8
org.apache.maven.doxia.module.twiki.parser,TableBlockParser,0.681818182,68.18181818,16
org.apache.maven.doxia.module.twiki.parser,HorizontalRuleBlock,1,100,7
org.apache.maven.doxia.module.twiki.parser,FormatedTextParser,0.931034483,93.10344828,37
org.apache.maven.doxia.module.twiki.parser,TreeListBuilder.TreeComponent,0.4,40,14
org.apache.maven.doxia.module.twiki.parser,TableBlock,1,100,5
org.apache.maven.doxia.module.twiki.parser,TreeListBuilder,0.85,85,15
org.apache.maven.doxia.module.twiki.parser,VerbatimBlockParser,0.666666667,66.66666667,7
org.apache.maven.doxia.module.twiki.parser,NopBlock,0,0,6
org.apache.maven.doxia.module.twiki.parser,GenericListBlockParser,0.791666667,79.16666667,17
org.apache.maven.doxia.module.itext,ITextSinkFactory,0,0,5
org.apache.maven.doxia.module.itext,ITextSink,0.595588235,59.55882353,182
org.apache.maven.doxia.module.itext,ITextUtil,0.75,75,17
org.apache.maven.doxia.module.itext,ITextFont,0.807692308,80.76923077,36
org.apache.maven.doxia.module.itext,ITextHeader,0.5,50,12
org.apache.maven.doxia.module.itext,SinkActionContext,0.5,50,5
org.apache.maven.doxia.module.xdoc,XdocParser,0.913793103,91.37931034,71
org.apache.maven.doxia.module.xdoc,XmlWriterXdocSink,0,0,5
org.apache.maven.doxia.module.xdoc,XdocSink,0.923076923,92.30769231,51
org.apache.maven.doxia.module.rtf,RomanNumerals,0,0,7
org.apache.maven.doxia.module.rtf,RtfSink.Paragraph,0.761904762,76.19047619,16
org.apache.maven.doxia.module.rtf,RtfSink.Row,1,100,5
org.apache.maven.doxia.module.rtf,PBMReader,0,0,19
org.apache.maven.doxia.module.rtf,RtfSink,0.594594595,59.45945946,216
org.apache.maven.doxia.module.rtf,WMFWriter.Dib,0,0,28
org.apache.maven.doxia.module.rtf,RtfSink.Space,0.5,50,10
org.apache.maven.doxia.module.rtf,WMFWriter.Record,0,0,11
org.apache.maven.doxia.module.rtf,RtfSink.Context,0.5,50,5
org.apache.maven.doxia.module.rtf,AlphaNumerals,0.666666667,66.66666667,6
org.apache.maven.doxia.module.rtf,Font,0.875,87.5,9
org.apache.maven.doxia.module.rtf,PBMReader.HeaderReader,0,0,18
org.apache.maven.doxia.module.rtf,RtfSink.Indentation,0.5,50,6
org.apache.maven.doxia.module.rtf,RtfSink.Cell,0.8,80,8
org.apache.maven.doxia.module.rtf,FontMetrics,0.75,75,5
org.apache.maven.doxia.module.rtf,RtfSink.Table,0.9,90,8
org.apache.maven.doxia.module.rtf,WMFWriter,0,0,20
org.apache.maven.doxia.module.markdown,FlexmarkDoxiaLinkResolver,1,100,4
org.apache.maven.doxia.module.markdown,MarkdownParser,0.911764706,91.17647059,22
org.apache.maven.doxia.module.markdown,MarkdownParser.MarkdownHtmlParser,1,100,7
org.apache.maven.doxia.module.markdown,FlexmarkDoxiaNodeRenderer,0.3,30,9
org.apache.maven.doxia.module.fo,FoAggregateSink,0.632352941,63.23529412,157
org.apache.maven.doxia.module.fo,FoSink,0.660606061,66.06060606,245
org.apache.maven.doxia.module.fo,NumberedListItem,0.619047619,61.9047619,19
org.apache.maven.doxia.module.fo,FoConfiguration,1,100,15
org.apache.maven.doxia.module.fo,FoUtils,0.318181818,31.81818182,16
