Package,Class name,Statement Coverage,(2) % Statement coverage,(4) McCabe complexity
org.apache.maven.doxia.module.xhtml5,Xhtml5Sink,0.97826087,97.82608696,36
org.apache.maven.doxia.module.xhtml5,Xhtml5Parser,0.871794872,87.17948718,40
org.apache.maven.doxia.module.xhtml5,Xhtml5ParserModule,0,0,1
org.apache.maven.doxia.module.xhtml5,Xhtml5SinkFactory,0,0,3
org.apache.maven.doxia.module.xhtml5,AbstractXhtml5Sink,0,0,1
org.apache.maven.doxia.module.fml.model,Faqs,0.26,26,30
org.apache.maven.doxia.module.fml.model,Part,0.272727273,27.27272727,30
org.apache.maven.doxia.module.fml.model,Faq,0.263157895,26.31578947,27
org.apache.maven.doxia.module.fml,FmlContentParser,0.705882353,70.58823529,17
org.apache.maven.doxia.module.fml,FmlMarkup,1,100,1
org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.fml,FmlParserModule,0,0,1
org.apache.maven.doxia.module.fml,FmlParser,0.785211268,78.52112676,85
org.apache.maven.doxia.module.latex,LatexSinkFactory,0,0,2
org.apache.maven.doxia.module.latex,LatexSink,0.856164384,85.61643836,194
org.apache.maven.doxia.module.confluence.parser,VerbatimBlock,1,100,2
org.apache.maven.doxia.module.confluence.parser,ParagraphBlockParser,0.961538462,96.15384615,12
org.apache.maven.doxia.module.confluence.parser,ParagraphBlock,1,100,6
org.apache.maven.doxia.module.confluence.parser,HorizontalRuleBlock,1,100,2
org.apache.maven.doxia.module.confluence.parser,FigureBlock,1,100,5
org.apache.maven.doxia.module.confluence.parser,LinethroughBlock,1,100,2
org.apache.maven.doxia.module.confluence.parser,MonospaceBlock,1,100,3
org.apache.maven.doxia.module.confluence.parser,AbstractFatherBlock,0.916666667,91.66666667,5
org.apache.maven.doxia.module.confluence.parser,FigureBlockParser,0.95,95,12
org.apache.maven.doxia.module.confluence.parser,SectionBlock,1,100,12
org.apache.maven.doxia.module.confluence.parser,DefinitionListBlockParser,1,100,19
org.apache.maven.doxia.module.confluence.parser,SectionBlockParser,1,100,8
org.apache.maven.doxia.module.confluence.parser,TextBlock,1,100,2
org.apache.maven.doxia.module.confluence.parser,SupBlock,1,100,2
org.apache.maven.doxia.module.confluence.parser,HorizontalRuleBlockParser,1,100,3
org.apache.maven.doxia.module.confluence.parser,ItalicBlock,1,100,3
org.apache.maven.doxia.module.confluence.parser,DefinitionListBlock,1,100,4
org.apache.maven.doxia.module.confluence.parser,LinkBlock,0.9,90,4
org.apache.maven.doxia.module.confluence.parser,UnderlineBlock,1,100,2
org.apache.maven.doxia.module.confluence.parser,VerbatimBlockParser,1,100,9
org.apache.maven.doxia.module.confluence.parser,LinebreakBlock,1,100,2
org.apache.maven.doxia.module.confluence.parser,AnchorBlock,0.875,87.5,3
org.apache.maven.doxia.module.confluence.parser,ChildBlocksBuilder,0.976878613,97.68786127,77
org.apache.maven.doxia.module.confluence.parser,SubBlock,1,100,2
org.apache.maven.doxia.module.confluence.parser,BoldBlock,1,100,3
org.apache.maven.doxia.module.confluence.parser.list,BulletedListBlock,1,100,3
org.apache.maven.doxia.module.confluence.parser.list,NumberedListBlock,1,100,3
org.apache.maven.doxia.module.confluence.parser.list,ListItemBlock,0.916666667,91.66666667,6
org.apache.maven.doxia.module.confluence.parser.list,ListBlock,1,100,1
org.apache.maven.doxia.module.confluence.parser.list,ListBlockParser,1,100,29
org.apache.maven.doxia.module.confluence.parser.list,TreeListBuilder,0.916666667,91.66666667,15
org.apache.maven.doxia.module.confluence.parser.list,TreeComponent,0.625,62.5,14
org.apache.maven.doxia.module.confluence.parser.table,TableBlockParser,0.961538462,96.15384615,21
org.apache.maven.doxia.module.confluence.parser.table,TableRowBlock,1,100,3
org.apache.maven.doxia.module.confluence.parser.table,TableBlock,1,100,5
org.apache.maven.doxia.module.confluence.parser.table,TableCellBlock,1,100,3
org.apache.maven.doxia.module.confluence.parser.table,TableCellHeaderBlock,1,100,3
org.apache.maven.doxia.module.confluence,ConfluenceParserModule,0,0,1
org.apache.maven.doxia.module.confluence,ConfluenceSink,0.78125,78.125,174
org.apache.maven.doxia.module.confluence,ConfluenceParser,0.951219512,95.12195122,10
org.apache.maven.doxia.module.confluence,ConfluenceSinkFactory,0,0,2
org.apache.maven.doxia.module.xhtml,XhtmlSinkFactory,0,0,3
org.apache.maven.doxia.module.xhtml,XhtmlParserModule,0,0,1
org.apache.maven.doxia.module.xhtml,AbstractXhtmlSink,0,0,1
org.apache.maven.doxia.module.xhtml,XhtmlParser,0.871794872,87.17948718,40
org.apache.maven.doxia.module.xhtml,XhtmlSink,0.967213115,96.72131148,18
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup,1,100,1
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},0.5,50,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},0.5,50,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},0.5,50,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},0.5,50,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},0.5,50,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,DocbookMarkup.new HTML.Tag() {...},0,0,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,DocbookMarkup.new HTML.Tag() {...},0,0,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},1,100,2
org.apache.maven.doxia.module.docbook,DocbookMarkup.new HTML.Tag() {...},0,0,2
org.apache.maven.doxia.module.docbook,SimplifiedDocbookMarkup.new HTML.Tag() {...},0.5,50,2
org.apache.maven.doxia.module.docbook,DocbookMarkup.new HTML.Tag() {...},0,0,2
