,Project,Version,Post Release DD,Branch Cov.,
1,Apache Commons Codec,1.1,0.746909661,92%,
,,1.11,0.202654778,90%,
,,1.12,0.033153201,90%,
,,1.13,0.193479733,90%,
,,1.14,0.093469591,91%,
,,,,,
2,Apache Commons Collections,4,1.335643636,82%,
,,4.1,0.477202057,78%,
,,4.2,0.239134334,81%,
,,4.3,0.029824483,81%,
,,4.4,0.132645542,81%,
,,,,,
3,Apache Commons Configuration,2.3,0.146945788,83%,
,,2.4,0.067528784,83%,
,,2.5,0.033694614,83%,
,,2.6,0.100818873,83%,
,,2.7,0.011267733,83%,
,,,,,
4,Apache Maven Doxia,1.6,0.250115438,NA*,
,,1.7,0.416501013,66.90%,
,,1.8,0.378214826,66.70%,
,,1.9,0.206387699,68.30%,
,,1.9.1,0.017140017,71.50%,
,,,,,
,*We couldn't run maven for Apache Maven Doxia version 1.6,,,,
,,,,,
,,,,,
,,,,,
