GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Codec,org.apache.commons.codec.language,MatchRatingApproachEncoder,0,649,0,76,0,119,0,51,0,13
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic,0,490,1,69,0,85,1,43,0,8
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
Apache Commons Codec,org.apache.commons.codec.language,DoubleMetaphone,39,3082,39,399,9,448,37,232,0,39
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex.Branch,4,119,3,17,2,28,3,14,0,7
Apache Commons Codec,org.apache.commons.codec.language,Soundex,9,267,2,32,3,56,4,26,2,11
Apache Commons Codec,org.apache.commons.codec.language,AbstractCaverphone,0,24,0,2,0,6,0,4,0,3
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex,76,545,13,75,10,122,13,41,0,10
Apache Commons Codec,org.apache.commons.codec.language,Nysiis,0,464,0,74,0,87,0,46,0,9
Apache Commons Codec,org.apache.commons.codec.language,RefinedSoundex,0,125,1,13,0,36,1,15,0,9
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneBuffer,0,44,0,0,0,11,0,4,0,4
Apache Commons Codec,org.apache.commons.codec.language,Metaphone,4,713,14,146,3,183,14,87,0,12
Apache Commons Codec,org.apache.commons.codec.language,SoundexUtils,0,92,0,18,0,21,0,13,0,4
Apache Commons Codec,org.apache.commons.codec.language,Caverphone,38,0,2,0,9,0,6,0,5,0
Apache Commons Codec,org.apache.commons.codec.language,DoubleMetaphone.DoubleMetaphoneResult,0,151,0,12,0,39,0,18,0,12
Apache Commons Codec,org.apache.commons.codec.language,Caverphone2,0,316,0,4,0,64,0,4,0,2
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneInputBuffer,19,32,0,0,3,8,1,4,1,4
Apache Commons Codec,org.apache.commons.codec.language,Caverphone1,0,301,0,4,0,61,0,4,0,2
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex.Rule,28,77,0,16,2,16,1,13,1,5
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneOutputBuffer,0,52,0,8,0,12,0,7,0,3
Apache Commons Codec,org.apache.commons.codec.cli,Digest,278,0,32,0,55,0,26,0,10,0
Apache Commons Codec,org.apache.commons.codec.digest,HmacUtils,61,415,0,6,18,77,7,54,7,51
Apache Commons Codec,org.apache.commons.codec.digest,Sha2Crypt,25,797,4,38,4,134,4,26,0,9
Apache Commons Codec,org.apache.commons.codec.digest,MurmurHash3.IncrementalHash32,0,54,0,4,0,14,0,5,0,2
Apache Commons Codec,org.apache.commons.codec.digest,PureJavaCrc32C,137,8332,7,3,9,540,8,6,1,5
Apache Commons Codec,org.apache.commons.codec.digest,UnixCrypt,6,5562,1,27,1,273,2,26,1,13
Apache Commons Codec,org.apache.commons.codec.digest,MessageDigestAlgorithms,0,55,0,0,0,2,0,1,0,1
Apache Commons Codec,org.apache.commons.codec.digest,HmacAlgorithms,0,84,0,0,0,18,0,4,0,4
Apache Commons Codec,org.apache.commons.codec.digest,DigestUtils,15,568,0,6,6,143,4,123,4,120
