GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RomanNumerals,212,0,6,0,12,0,7,0,4,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,MonospaceBold,3092,0,0,0,3,0,2,0,2,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RtfSink.Counter,0,24,0,0,0,10,0,5,0,5
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RtfSink.Paragraph,50,221,5,16,6,43,5,11,0,4
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,Serif,0,3092,0,0,0,3,0,2,0,2
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RtfSink.Row,0,44,0,4,0,12,0,5,0,3
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,PBMReader,160,0,20,0,43,0,19,0,8,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,SerifBoldItalic,3092,0,0,0,3,0,2,0,2,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RtfSink.Item,0,9,0,0,0,4,0,1,0,1
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,Font.TextExtents,0,12,0,0,0,5,0,1,0,1
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RtfSinkFactory,9,0,0,0,2,0,2,0,2,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RtfSink,895,1919,75,110,205,494,80,136,23,92
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,SansSerif,3092,0,0,0,3,0,2,0,2,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,WMFWriter.Dib,377,0,46,0,85,0,28,0,5,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RtfSink.Space,0,101,2,2,0,27,2,8,0,8
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,SerifItalic,3092,0,0,0,3,0,2,0,2,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,WMFWriter.Record,107,0,14,0,21,0,11,0,4,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,MonospaceItalic,3092,0,0,0,3,0,2,0,2,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RtfSink.Context,0,44,1,1,0,11,1,4,0,4
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,WMFWriter.DibBitBltRecord,31,0,0,0,10,0,3,0,3,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,AlphaNumerals,11,33,2,4,3,9,4,2,2,1
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,Font,14,87,1,7,3,19,3,6,2,3
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,SerifBold,0,3092,0,0,0,3,0,2,0,2
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,PBMReader.HeaderReader,196,0,24,0,52,0,18,0,5,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,Monospace,0,3092,0,0,0,3,0,2,0,2
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RtfSink.Indentation,0,51,1,1,0,14,1,5,0,5
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RtfSink.Cell,1,107,2,8,1,25,2,6,0,3
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,SansSerifItalic,3092,0,0,0,3,0,2,0,2,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RtfSink.Line,0,13,0,0,0,4,0,2,0,2
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,FontMetrics,5,68,1,3,2,19,1,4,0,2
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RtfSink.Table,1,93,1,9,1,21,1,7,0,3
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,WMFWriter,384,0,14,0,89,0,20,0,13,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,FontMetrics.CharMetrics,0,27,0,0,0,8,0,1,0,1
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,SansSerifBold,3092,0,0,0,3,0,2,0,2,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,MonospaceBoldItalic,3092,0,0,0,3,0,2,0,2,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RtfSink.Box,0,9,0,0,0,4,0,1,0,1
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,SansSerifBoldItalic,3092,0,0,0,3,0,2,0,2,0
