GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JFreeChart,org.jfree.chart.plot,PlotRenderingInfo,45,147,9,11,11,42,8,16,1,13
JFreeChart,org.jfree.chart.plot,CombinedDomainXYPlot,351,557,59,53,90,151,53,33,13,17
JFreeChart,org.jfree.chart.plot,PolarPlot,1190,1099,178,104,313,302,158,77,53,41
JFreeChart,org.jfree.chart.plot,DatasetRenderingOrder,0,24,0,0,0,3,0,1,0,1
JFreeChart,org.jfree.chart.plot,DialShape,0,34,0,0,0,4,0,1,0,1
JFreeChart,org.jfree.chart.plot,Plot,386,779,88,86,116,242,87,72,21,48
JFreeChart,org.jfree.chart.plot,PiePlotState,0,80,0,0,0,34,0,21,0,21
JFreeChart,org.jfree.chart.plot,ThermometerPlot,1186,761,118,74,252,188,125,45,48,25
JFreeChart,org.jfree.chart.plot,RingPlot,422,262,45,25,111,90,37,28,14,16
JFreeChart,org.jfree.chart.plot,PiePlot,979,2766,126,218,224,746,130,174,33,99
JFreeChart,org.jfree.chart.plot,PieLabelDistributor,107,227,13,21,22,50,10,16,2,7
JFreeChart,org.jfree.chart.plot,PieLabelRecord,38,157,7,19,10,45,10,19,4,12
JFreeChart,org.jfree.chart.plot,PlotState,0,11,0,0,0,4,0,2,0,2
JFreeChart,org.jfree.chart.plot,FastScatterPlot,213,804,37,65,70,218,49,52,20,30
JFreeChart,org.jfree.chart.plot,CompassPlot,824,374,69,36,161,107,66,26,17,18
JFreeChart,org.jfree.chart.plot,DefaultDrawingSupplier,12,765,6,50,4,147,5,41,0,18
JFreeChart,org.jfree.chart.plot,CategoryMarker,6,93,3,7,3,27,3,10,0,8
JFreeChart,org.jfree.chart.plot,Crosshair,56,578,1,33,20,159,18,39,17,23
JFreeChart,org.jfree.chart.plot,MeterPlot,179,1347,49,93,43,347,62,65,18,38
JFreeChart,org.jfree.chart.plot,IntervalMarker,20,116,2,10,5,32,4,13,2,9
JFreeChart,org.jfree.chart.plot,AbstractPieLabelDistributor,0,31,0,0,0,10,0,5,0,5
JFreeChart,org.jfree.chart.plot,CombinedRangeXYPlot,352,508,59,43,89,133,50,29,12,16
JFreeChart,org.jfree.chart.plot,CombinedRangeCategoryPlot,200,512,41,45,49,138,38,25,6,14
JFreeChart,org.jfree.chart.plot,MultiplePiePlot,365,416,50,34,85,123,37,30,6,19
JFreeChart,org.jfree.chart.plot,MeterInterval,12,123,6,8,6,36,6,11,0,10
JFreeChart,org.jfree.chart.plot,XYCrosshairState,3,0,0,0,2,0,1,0,1,0
JFreeChart,org.jfree.chart.plot,PlotOrientation,0,32,0,0,0,5,0,3,0,3
JFreeChart,org.jfree.chart.plot,WaferMapPlot,581,0,44,0,131,0,36,0,14,0
JFreeChart,org.jfree.chart.plot,PolarAxisLocation,0,84,0,0,0,9,0,1,0,1
JFreeChart,org.jfree.chart.plot,CombinedDomainCategoryPlot,301,550,49,47,77,149,46,27,10,15
JFreeChart,org.jfree.chart.plot,XYPlot,1786,4761,333,533,446,1261,294,370,50,181
JFreeChart,org.jfree.chart.plot,ValueMarker,11,57,1,7,3,19,2,8,1,5
JFreeChart,org.jfree.chart.plot,SpiderWebPlot,241,1451,44,102,67,390,56,86,19,50
JFreeChart,org.jfree.chart.plot,CategoryPlot,1839,4126,322,464,405,1146,263,352,45,177
JFreeChart,org.jfree.chart.plot,Marker,24,495,7,35,8,136,9,49,2,35
JFreeChart,org.jfree.chart.plot,PiePlot3D,905,1124,89,59,248,262,56,30,2,10
JFreeChart,org.jfree.chart.plot,CrosshairState,141,53,15,1,36,24,14,13,6,13
JFreeChart,org.jfree.chart.plot,CategoryCrosshairState,88,29,11,1,25,13,7,6,1,6
JFreeChart,org.jfree.chart.plot,CenterTextMode,0,34,0,0,0,4,0,1,0,1
JFreeChart,org.jfree.chart.plot,PieLabelLinkStyle,0,34,0,0,0,4,0,1,0,1
JFreeChart,org.jfree.chart.plot,SeriesRenderingOrder,0,24,0,0,0,3,0,1,0,1
JFreeChart,org.jfree.chart.imagemap,StandardToolTipTagFragmentGenerator,0,15,0,0,0,3,0,2,0,2
JFreeChart,org.jfree.chart.imagemap,DynamicDriveToolTipTagFragmentGenerator,47,0,0,0,11,0,3,0,3,0
JFreeChart,org.jfree.chart.imagemap,StandardURLTagFragmentGenerator,0,14,0,0,0,3,0,2,0,2
JFreeChart,org.jfree.chart.imagemap,OverLIBToolTipTagFragmentGenerator,0,15,0,0,0,4,0,2,0,2
JFreeChart,org.jfree.chart.imagemap,ImageMapUtils,55,198,7,27,12,48,10,15,5,3
JFreeChart,org.jfree.chart.editor,DefaultAxisEditor,591,0,22,0,132,0,29,0,18,0
JFreeChart,org.jfree.chart.editor,DefaultChartEditor,422,0,6,0,87,0,12,0,9,0
JFreeChart,org.jfree.chart.editor,DefaultPlotEditor,934,0,100,0,230,0,68,0,18,0
JFreeChart,org.jfree.chart.editor,DefaultLogAxisEditor,156,0,12,0,42,0,13,0,7,0
JFreeChart,org.jfree.chart.editor,DefaultTitleEditor,391,0,22,0,96,0,22,0,11,0
JFreeChart,org.jfree.chart.editor,DefaultValueAxisEditor,546,0,32,0,128,0,36,0,20,0
JFreeChart,org.jfree.chart.editor,DefaultPolarPlotEditor,241,0,12,0,60,0,15,0,9,0
JFreeChart,org.jfree.chart.editor,DefaultNumberAxisEditor,199,0,12,0,52,0,13,0,7,0
JFreeChart,org.jfree.chart.editor,DefaultChartEditorFactory,8,0,0,0,3,0,2,0,2,0
JFreeChart,org.jfree.chart.editor,ChartEditorManager,17,0,0,0,6,0,4,0,4,0
JFreeChart,org.jfree.chart.urls,CustomPieURLGenerator,13,158,7,17,5,39,8,12,1,7
JFreeChart,org.jfree.chart.urls,StandardXYURLGenerator,57,64,8,6,9,20,7,5,1,4
JFreeChart,org.jfree.chart.urls,StandardCategoryURLGenerator,50,166,9,11,12,39,8,9,2,5
JFreeChart,org.jfree.chart.urls,TimeSeriesURLGenerator,32,193,5,15,9,44,9,9,4,4
JFreeChart,org.jfree.chart.urls,StandardXYZURLGenerator,9,0,0,0,2,0,2,0,2,0
JFreeChart,org.jfree.chart.urls,CustomXYURLGenerator,17,139,10,18,7,39,10,12,1,7
JFreeChart,org.jfree.chart.urls,CustomCategoryURLGenerator,17,139,10,18,7,40,10,12,1,7
JFreeChart,org.jfree.chart.urls,URLUtilities,54,0,0,0,15,0,3,0,3,0
JFreeChart,org.jfree.chart.urls,StandardPieURLGenerator,28,127,3,11,5,35,3,10,0,6
JFreeChart,org.jfree.data.json,JSONUtils,224,0,20,0,70,0,15,0,5,0
JFreeChart,org.jfree.chart.title,LegendGraphic,118,497,30,44,31,148,29,47,9,30
JFreeChart,org.jfree.chart.title,Title,29,270,9,19,10,78,12,24,4,18
JFreeChart,org.jfree.chart.title,ImageTitle,405,0,36,0,84,0,29,0,11,0
JFreeChart,org.jfree.chart.title,DateTitle,10,43,0,0,2,8,1,4,1,4
JFreeChart,org.jfree.chart.title,ShortTextTitle,289,12,43,1,62,4,28,2,6,2
JFreeChart,org.jfree.chart.title,PaintScaleLegend,750,314,68,24,138,91,49,27,13,17
JFreeChart,org.jfree.chart.title,CompositeTitle,73,80,4,6,19,26,7,10,4,8
JFreeChart,org.jfree.chart.title,LegendItemBlockContainer,9,78,1,3,3,25,4,7,3,6
JFreeChart,org.jfree.chart.title,TextTitle,507,592,94,56,113,160,72,40,12,25
JFreeChart,org.jfree.chart.title,LegendTitle,116,596,20,42,34,163,29,37,12,23
JFreeChart,org.jfree.data.xml,ItemHandler,112,0,8,0,32,0,11,0,7,0
JFreeChart,org.jfree.data.xml,PieDatasetHandler,72,0,8,0,20,0,9,0,5,0
JFreeChart,org.jfree.data.xml,ValueHandler,100,0,8,0,27,0,10,0,6,0
JFreeChart,org.jfree.data.xml,KeyHandler,96,0,6,0,21,0,9,0,6,0
JFreeChart,org.jfree.data.xml,DatasetReader,122,0,2,0,43,0,8,0,7,0
JFreeChart,org.jfree.data.xml,RootHandler,54,0,8,0,18,0,10,0,6,0
JFreeChart,org.jfree.data.xml,CategoryDatasetHandler,85,0,8,0,22,0,9,0,5,0
JFreeChart,org.jfree.data.xml,CategorySeriesHandler,114,0,8,0,30,0,9,0,5,0
JFreeChart,org.jfree.chart,ChartColor,6,338,0,0,2,25,1,2,1,2
JFreeChart,org.jfree.chart,ChartHints.Key,33,0,13,0,6,0,9,0,2,0
JFreeChart,org.jfree.chart,PaintMap,17,164,0,14,4,50,2,15,2,8
JFreeChart,org.jfree.chart,JFreeChart,546,1139,70,100,140,297,81,80,27,47
JFreeChart,org.jfree.chart,StandardChartTheme,763,1232,93,117,215,368,112,85,46,46
JFreeChart,org.jfree.chart,ChartTransferable,207,0,12,0,52,0,13,0,7,0
